ID:882204,4115
ID:985718,3140
ID:805340,18045
ID:961067,5868
ID:523455,12610
ID:753142,12381
ID:184547,2731
ID:188180,6580
ID:186296,8266
ID:337813,14383
ID:499343,9176
ID:127480,5737
ID:827445,9682
ID:418895,5542
ID:864327,8421
ID:463608,6744
ID:201302,9289
ID:833164,15569
ID:974668,18228
ID:636152,10988
ID:863789,3091
ID:767200,13431
ID:757790,686
ID:226464,11353
ID:238737,8250
ID:864053,6702
ID:838048,21320
ID:964139,11455
ID:649261,7857
ID:962007,10297
ID:883019,16519
ID:105908,10284
ID:276808,9355
ID:320930,9258
ID:196640,14222
ID:197352,7648
ID:176434,10442
ID:808158,7156
ID:912690,6583
ID:486718,7846
ID:612824,14925
ID:826701,6143
ID:889162,10004
ID:871228,13091
ID:222733,9851
ID:846468,5808
ID:905645,8864
ID:122549,12053
ID:726704,20331
ID:518661,7830
ID:719679,5687
ID:851899,11926
ID:149626,10906
ID:532298,5769
ID:634956,11465
ID:136345,13134
ID:631881,10319
ID:135083,4647
ID:415898,2509
ID:951777,7055
ID:120074,1201
ID:750116,10354
ID:782043,9451
ID:139400,1272
ID:104998,9824
ID:346520,9940
ID:683078,233
ID:460305,18375
ID:295248,9909
ID:208578,2857
ID:391998,14503
ID:455824,6539
ID:771765,4801
ID:773233,23217
ID:138868,12393
ID:305162,8460
ID:349592,6793
ID:561255,6176
ID:985802,7173
ID:721377,1354
ID:670557,1130
ID:691628,14588
ID:334115,3617
ID:848823,5926
ID:499079,8316
ID:478855,14930
ID:861714,8096
ID:509120,8924
ID:857550,11693
ID:154151,8852
ID:659019,14079
ID:532114,5334
ID:770035,5863
ID:382635,7907
ID:890766,15993
ID:279653,2268
ID:739974,444
ID:846342,12438
ID:551988,4889
ID:614642,12184
ID:698908,4838
ID:797626,3548
ID:885611,8960
ID:718118,13894
ID:542487,17622
ID:339783,6503
ID:815642,10410
ID:961832,8893
ID:720111,7860
ID:411875,15667
ID:209736,13790
ID:979057,15279
ID:702084,3684
ID:553337,11237
ID:723559,11241
ID:467976,6804
ID:324931,17385
ID:575248,15629
ID:714719,9657
ID:903305,5145
ID:440087,13917
ID:407200,8115
ID:372131,7109
ID:251550,14106
ID:989565,11748
ID:539284,7857
ID:252494,6880
ID:441553,15358
ID:628116,9836
ID:836753,3515
ID:590109,15147
ID:160837,4232
ID:542195,11622
ID:719823,13730
ID:973502,10333
ID:920908,10757
ID:408128,12940
ID:728471,5561
ID:892832,17277
ID:399435,15689
ID:183185,10256
ID:805651,7287
ID:778529,12161
ID:593526,-769
ID:705459,10798
ID:300739,1243
ID:476142,7588
ID:757562,9266
ID:254497,10145
ID:164096,4936
ID:342937,8606
ID:729112,12958
ID:597741,8705
ID:857491,15602
ID:792187,6442
ID:270599,8374
ID:943995,3289
ID:566999,4216
ID:270175,16293
ID:178701,9025
ID:680641,12274
ID:799062,6738
ID:293615,20470
ID:531525,9843
ID:483531,12516
ID:822007,4488
ID:985657,3115
ID:983324,11950
ID:820322,12114
ID:681861,7644
ID:446866,11521
ID:891130,13749
